NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS
Harry Giles III,,0,3.1,1.2,0.7,0.2,1.1,5.4
Damian Jones,,0,3.1,1.2,0.5,1,0.7,5.4
Frank Mason,,0.3,1.4,3,0.6,0.1,1,5.4
Thon Maker,,1.1,2.8,0.6,0.2,0.6,0.3,5.3
Tomas Satoransky,,0.4,1.8,2.8,0.7,0.2,0.7,5.3
Glenn Robinson III,,0.5,1.6,0.5,0.3,0.2,0.6,5.2
Daniel Theis,,0.3,2.6,0.7,0.1,0.4,0.8,5.2
Gorgui Dieng,,0.2,4,0.8,0.4,0.6,0.9,5.2
Omri Casspi,,0.4,3.1,0.8,0.4,0.1,0.4,5.2
Robin Lopez,,0.1,1.9,1.2,0.2,0.9,1.3,5.2
De'Anthony Melton,,0.8,2.1,1.9,0.9,0.1,0.8,5.1
Damion Lee,,0.9,2.1,0.2,0.6,0,0.5,5.1
Alex Poythress,,0.4,3.8,0.8,0.2,0.4,0.6,5
Courtney Lee,,1,3.5,2,0.5,0,0,5
Devin Robinson,,0,3,0.5,1,0.5,0,5
Luc Mbah a Moute,,0.5,1.8,0.5,0.3,0.3,0.5,5
Nene,,0,3.3,1,0,0.3,0.3,5
Norman Powell,,0.8,2,0.9,0.5,0.1,0.7,5
Raul Neto,,0.4,1.2,2.3,0.4,0,1,5
Shake Milton,,1,0,2,1,1,0,5
Yogi Ferrell,,0.6,1.4,0.9,0.5,0.1,0.5,4.9
CJ Miles,,1,1.6,0.8,0.4,0.3,0.6,4.9
Justin Anderson,,0.1,1.3,0.5,0.6,0.1,0.4,4.9
Mitchell Robinson,,0,4.1,0.5,0.6,2,0.6,4.9
Derrick Jones Jr.,,0.4,2.8,0.5,0.3,0.5,0.8,4.8
Raymond Felton,,0.4,1.5,1.8,0.5,0.3,0.8,4.8
T.J. McConnell,,0.1,1.7,2.6,1,0.3,1.2,4.8
Anthony Tolliver,,1.3,2.4,0.7,0.4,0.5,0.6,4.8
Shaun Livingston,,0,2.1,2.3,0.7,0.5,0.6,4.8
Mike Scott,,1.1,3.5,1,0.4,0.2,0.6,4.8
Miles Plumlee,,0,2.3,0.9,0.4,0.3,0.6,4.8
Royce O'Neale,,0.5,2.8,1.2,0.6,0.2,0.9,4.7
Patrick Patterson,,0.9,2.7,0.5,0.4,0.2,0.4,4.7
Furkan Korkmaz,,0.7,1.7,1.1,0.6,0,0.2,4.6
Chandler Hutchison,,0.2,4.1,0.7,0.6,0.2,0.8,4.5
Michael Beasley,,0.1,1.4,0.3,0.2,0,0.8,4.4
Wes Iwundu,,0.3,2,0.9,0.3,0.2,0.5,4.4
Andre Iguodala,,0.5,3,3,0.8,0.6,1,4.4
Grayson Allen,,0.7,0.3,0.4,0.1,0,0.7,4.4
Wesley Johnson,,1,2.7,0.8,0.5,0.4,0.6,4.4
Jalen Brunson,,0.4,1.3,1.6,0.5,0,0.6,4.4
Jared Dudley,,0.8,2.7,1.4,0.5,0.3,0.9,4.3
Chris Boucher,,0.3,2.3,0,0,1,0,4.3
Kosta Koufos,,0,5.6,1,0.8,0.4,0.7,4.3
Tyus Jones,,0.6,1.5,2.8,1.2,0,0.5,4.3
